trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-77.20849233897356,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,0,-147.10784634464122,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-43.41970293432402,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,0,-79.04647300093862,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",30,4,-99.28637079728969,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 1}",1
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",30,0,-139.1179088807925,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-62.8967215270382,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,0,-52.458394396438166,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,0,-93.92311473111378,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,0,-55.633425321952906,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,0,-120.64362993518428,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,6,-53.759818051635804,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",30,0,-86.92970220770518,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,0,-77.36492091967327,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,5,-73.65229120948175,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",25,0,-61.1308496740987,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",25,8,-59.36606530539493,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,1,-46.65717490744244,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",20,0,-59.293612833440086,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",25,0,-124.25768699123589,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-93.70756190784407,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",30,8,-62.420125355031054,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
178,False,"{'a': 0.002, 'e': 0.701874967355394}",25,0,-89.91637288521842,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",25,0,-77.20078105137962,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",20,5,-39.01067470035257,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.002, 'e': 0.697676326071031}",25,19,-0.9368357494706201,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
